otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title
otu420099	Helwingia chinensis	468906	146502	-	None	False	original	Helwingia_chinensis	-
otu420083	Helwingia japonica	1030991	16915	-	None	False	original	Helwingia_japonica	-
otu420106	Ilex paraguariensis	589430	185542	-	2020/06/28	True	original	Ilex_paraguariensis	-
otu420069	Ilex mucronata	224625	185535	-	2020/06/28	True	original	Ilex_mucronata	-
otu420113	Ilex amelanchier	432615	53196	-	2020/06/28	True	original	Ilex_amelanchier	-
otu420084	Ilex collina	468913	146504	-	2020/06/28	True	original	Ilex_collina	-
otu420092	Ilex decidua	676165	53201	-	2020/06/28	True	original	Ilex_decidua	-
otu420079	Ilex vomitoria	727576	4297	-	2020/06/28	True	original	Ilex_vomitoria	-
otu420076	Ilex anomala	432613	53197	-	2020/06/28	True	original	Ilex_anomala	-
otu420085	Ilex rugosa	1015271	53212	-	2020/06/28	True	original	Ilex_rugosa	-
otu420098	Ilex maximowicziana	89476	58292	-	2020/06/28	True	original	Ilex_maximowicziana	-
otu420072	Ilex cornuta	468915	146505	-	2020/06/28	True	original	Ilex_cornuta	-
otu420095	Ilex dimorphophylla	89483	58296	-	2020/06/28	True	original	Ilex_dimorphophylla	-
otu420075	Ilex buergeri	89480	58297	-	2020/06/28	True	original	Ilex_buergeri	-
otu420112	Ilex latifolia	676217	53205	-	2020/06/28	True	original	Ilex_latifolia	-
otu420103	Ilex warburgii	89485	58299	-	2020/06/28	True	original	Ilex_warburgii	-
otu420086	Ilex liukiuensis	796105	58303	-	2020/06/28	True	original	Ilex_liukiuensis	-
otu420073	Ilex x kiusiana	5144136	58298	-	2020/06/28	True	original	Ilex_kiusiana	-
otu420077	Ilex integra	751453	53204	-	2020/06/28	True	original	Ilex_integra	-
otu420080	Ilex beecheyi	796111	58300	-	2020/06/28	True	original	Ilex_beecheyi	-
otu420101	Ilex percoriacea	796107	58302	-	2020/06/28	True	original	Ilex_percoriacea	-
otu420094	Ilex mertensii	796109	58301	-	2020/06/28	True	original	Ilex_mertensii	-
otu420088	Ilex rotunda	1015268	53211	-	2020/06/28	True	original	Ilex_rotunda	-
otu420087	Ilex serrata	796121	58304	-	2020/06/28	True	original	Ilex_serrata	-
otu420070	Ilex glabra	458761	109210	-	2020/06/28	True	original	Ilex_glabra	-
otu420108	Ilex macropoda	796117	58305	-	2020/06/28	True	original	Ilex_macropoda	-
otu420109	Ilex micrococca	676195	53206	-	2020/06/28	True	original	Ilex_micrococca	-
otu420114	Ilex yunnanensis	1015274	53213	-	2020/06/28	True	original	Ilex_yunnanensis	-
otu420090	Ilex mitis	676179	53207	-	2020/06/28	True	original	Ilex_mitis	-
otu420074	Ilex canariensis	676173	53200	-	2020/06/28	True	original	Ilex_canariensis	-
otu420081	Ilex taubertiana	967825	224368	-	2020/06/28	True	original	Ilex_taubertiana	-
otu420100	Ilex brevicuspis	432620	53199	-	2020/06/28	True	original	Ilex_brevicuspis	-
otu420089	Ilex microdonta	222016	185533	-	2020/06/28	True	original	Ilex_microdonta_Gbk	-
otu420096	Ilex pseudobuxus	1015266	53210	-	2020/06/28	True	original	Ilex_pseudobuxus	-
otu420107	Ilex microdonta	222016	185533	-	2020/06/28	True	original	Ilex_microdonta	-
otu420082	Ilex brasiliensis	432622	53198	-	2020/06/28	True	original	Ilex_brasiliensis	-
otu420104	Ilex theezans	68451	185555	-	2020/06/28	True	original	Ilex_theezans	-
otu420071	Ilex theezans	68451	185555	-	2020/06/28	True	original	Ilex_theezans_Gbk	-
otu420093	Ilex integerrima	171374	185519	-	2020/06/28	True	original	Ilex_integerrima	-
otu420078	Ilex argentina	302247	185491	-	2020/06/28	True	original	Ilex_argentina	-
otu420097	Ilex pedunculosa	751461	53208	-	2020/06/28	True	original	Ilex_pedunculosa	-
otu420102	Ilex cassine	468907	146503	-	2020/06/28	True	original	Ilex_cassine	-
otu420110	Ilex argentina	302247	185491	-	2020/06/28	True	original	Ilex_argentina_Gbk	-
otu420067	Ilex opaca	660052	101729	-	2020/06/28	True	original	Ilex_opaca	-
otu420091	Ilex dumosa var. guaranina	967823	224369	-	2020/06/28	True	original	Ilex_dumosa_guaranina	-
otu420111	Ilex dumosa var. dumosa	967819	224367	-	2020/06/28	True	original	Ilex_dumosa_dumosa	-
otu420105	Ilex mutchagara	89474	58293	-	2020/06/28	True	original	Ilex_mutchagara	-
otu420068	Ilex crenata	671004	4296	-	2020/06/28	True	original	Ilex_crenata	-
otuPS1	Ilex amelanchier	432615	53196	AJ275340.1	None	True	new	-	Ilex amelanchier chloroplast 5.8S rRNA gene, internal transcribed spacer 1 (ITS1) and internal transcribed spacer 2 (ITS2)
otuPS2	Nemopanthus mucronatus	601098	4302	AJ275336.1	None	True	Not within requesdted MRCA ncbi:4295	-	Nemopanthus mucronatus chloroplast 5.8S rRNA gene, internal transcribed spacer 1 (ITS1) and internal transcribed spacer 2 (ITS2)
otuPS3	Ilex montana	222009	185534	FJ394700.1	None	True	new	-	Ilex montana voucher S. Andrews SA1546 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
otuPS4	Ilex decidua var. curtissii	694211	185503	FJ394674.1	None	True	new	-	Ilex decidua var. curtissii voucher S. Andrews SA1543 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence<>Ilex longipes voucher S. Andrews SA1472 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
otuPS5	Ilex anomala	432613	53197	AJ492652.1	None	True	new	-	Ilex anomala ITS1 (partial), 5.8S rDNA gene and ITS2 (partial)
otuPS6	Ilex delavayi	5746268	1872702	MH117573.1	None	True	new	-	Ilex delavayi voucher YLDP020A internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence<>Ilex delavayi voucher YLDP020B internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
otuPS7	Ilex corallina	694221	185500	KF255680.1	None	True	new	-	Ilex corallina isolate DQ_19 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
otuPS8	Ilex chinensis	76784	1043419	KF255676.1	None	True	new	-	Ilex chinensis isolate DQ_14 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
otuPS9	Ilex hylonoma	171372	185518	FJ394688.1	None	True	new	-	Ilex hylonoma voucher Zhong Shu Hua sn. internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
otuPS10	Ilex corallina	694221	185500	FJ394669.1	None	True	new	-	Ilex corallina voucher S. Andrews SA1517 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
otuPS11	Ilex leucoclada	745671	185526	AJ492690.1	None	True	new	-	Ilex leucoclada ITS1 (partial), 5.8S rDNA gene and ITS2 (partial)
otuPS12	Ilex argentina	302247	185491	AY183483.1	None	True	new	-	Ilex argentina internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
otuPS13	Ilex argentina	302247	185491	AY183482.1	None	True	new	-	Ilex argentina internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
otuPS14	Ilex argentina	302247	185491	FJ394659.1	None	True	new	-	Ilex argentina voucher G. Giberti 507 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
otuPS15	Ilex cassine	468907	146503	AJ492667.1	None	True	new	-	Ilex cassine ITS1 (partial), 5.8S rDNA gene and ITS2 (partial)
otuPS16	Ilex brasiliensis	432622	53198	AJ786506.1	None	True	new	-	Ilex brasiliensis partial ITS1, 5.8S rRNA gene and partial ITS2, isolate 102
otuPS17	Ilex brevicuspis	432620	53199	AY183496.1	None	True	new	-	Ilex brevicuspis internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
otuPS18	Ilex brevicuspis	432620	53199	AJ492662.1	None	True	new	-	Ilex brevicuspis ITS1 (partial), 5.8S rDNA gene and ITS2 (partial), isolate 2
otuPS19	Ilex asperula	302253	185492	FJ394661.1	None	True	new	-	Ilex asperula voucher J.N. Nakayima 1350 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
otuPS20	Ilex brasiliensis	432622	53198	AY183490.1	None	True	new	-	Ilex brasiliensis internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
otuPS21	Ilex argentina	302247	185491	AJ492655.1	None	True	new	-	Ilex argentina ITS1 (partial), 5.8S rDNA gene and ITS2 (partial)
