otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title
otu63089	Agaricostilbum hyphaenes	88399	44565	-	None	False	original	Agaricostilbum_hyphaenes	-
otu63092	Calocera cornea	985692	29889	-	None	False	original	Calocera_cornea	-
otu63093	Coltricia perennis	569041	40426	-	None	False	original	Coltricia_perennis	-
otu63095	Phanerodontia chrysosporium	5299626	0	-	None	False	original	Phanerochaete_chrysosporium	-
otu63096	Fomitopsis pinicola	417422	40483	-	None	False	original	Fomitopsis_pinicola	-
otu63097	Grifola frondosa	868676	5627	-	None	False	original	Grifola_frondosa	-
otu63098	Armillaria mellea	65625	0	-	None	False	original	Armillaria_mellea	-
otu63099	Hygrocybe conica	1040966	0	-	None	False	original	Hygrocybe_conica	-
otu63100	Calostoma cinnabarinum	253478	83216	-	None	False	original	Calostoma_cinnabarinum	-
otu63101	Strobilomyces strobilaceus	551334	80670	-	None	False	original	Strobilomyces_floccopus	-
otu63094	Cotylidia	811601	181932	-	None	False	original	Cotylidia_sp	-
otu63091	Cryptococcus neoformans	634633	0	-	None	False	original	Cryptococcus_neoformans	-
otu63090	Ustilago maydis	285447	5270	-	None	False	original	Ustilago_maydis	-
otu63102	Lipomyces oligophaga	635029	45792	-	None	True	original	Lipomyces_oligophaga	-
otu63103	Yarrowia lipolytica	959622	0	-	None	True	original	Yarrowia_lipolytica	-
otu63104	Zygoascus steatolyticus	904300	0	-	None	True	original	Zygoascus_steatolyticus	-
otu63105	Metschnikowia bicuspidata	94057	27322	-	None	True	original	Metschnikowia_bicuspidata	-
otu63107	Clavispora lusitaniae	213939	36911	-	None	True	original	Candida_lusitaniae	-
otu63106	Clavispora lusitaniae	213939	36911	-	None	True	original	Clavispora_lusitaniae	-
otu63110	Candida tropicalis	408236	5482	-	None	True	original	Candida_tropicalis	-
otu63111	Candida albicans	1034966	0	-	None	True	original	Candida_albicans	-
otu63109	Meyerozyma guilliermondii	334025	4929	-	None	True	original	Candida_guilliermondii	-
otu63108	Debaryomyces hansenii	959617	0	-	None	True	original	Debaryomyces_hansenii	-
otu63112	Lachancea waltii	858843	4914	-	None	True	original	Lachancea_waltti	-
otu63113	Eremothecium gossypii	806602	33169	-	None	True	original	Eremothecium_gossypii	-
otu63114	Kluyveromyces lactis	538138	28985	-	None	True	original	Kluyveromyces_lactis	-
otu63115	Naumovozyma castellii	1059907	0	-	None	True	original	Saccharomyces_castellii	-
otu63116	Saccharomyces cerevisiae	908549	0	-	None	True	original	Saccharomyces_cerevisiae	-
otu63117	Candida glabrata	718605	5478	-	None	True	original	Candida_glabrata	-
otu63489	Rhizina undulata	953355	44645	-	None	True	original	Rhizina_undulata	-
otu63490	Caloscypha fulgens	16906	47187	-	None	True	original	Caloscypha_fulgens	-
otu63492	Barssia oregonensis	528348	44631	-	None	True	original	Barssia_oregonensis	-
otu63493	Helvella compressa	522196	265119	-	None	True	original	Helvella_compressa_cf	-
otu63491	Tuber gibbosum	528343	44634	-	None	True	original	Tuber_gibbosum	-
otu63496	Disciotis venosa	246480	44606	-	None	True	original	Disciotis_venosa	-
otu63497	Morchella esculenta	952133	0	-	None	True	original	Morchella_esculenta_cf	-
otu63498	Morchella elata	339440	39930	-	None	True	original	Morchella_elata_cf	-
otu63495	Verpa bohemica	1054386	44609	-	None	True	original	Verpa_bohemica	-
otu63494	Verpa conica	1054387	44608	-	None	True	original	Verpa_conica	-
