otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title
otu420099	Helwingia chinensis	468906	146502	-	2020/06/04	False	original	Helwingia_chinensis	-
otu420083	Helwingia japonica	1030991	16915	-	2020/06/04	False	original	Helwingia_japonica	-
otu420106	Ilex paraguariensis	589430	185542	-	2020/06/04	True	original	Ilex_paraguariensis	-
otu420069	Ilex mucronata	224625	185535	-	2020/06/04	True	original	Ilex_mucronata	-
otu420113	Ilex amelanchier	432615	53196	-	2020/06/04	True	original	Ilex_amelanchier	-
otu420084	Ilex collina	468913	146504	-	2020/06/04	True	original	Ilex_collina	-
otu420092	Ilex decidua	676165	53201	-	2020/06/04	True	original	Ilex_decidua	-
otu420079	Ilex vomitoria	727576	4297	-	2020/06/04	True	original	Ilex_vomitoria	-
otu420076	Ilex anomala	432613	53197	-	2020/06/04	True	original	Ilex_anomala	-
otu420085	Ilex rugosa	1015271	53212	-	2020/06/04	True	original	Ilex_rugosa	-
otu420098	Ilex maximowicziana	89476	58292	-	2020/06/04	True	original	Ilex_maximowicziana	-
otu420072	Ilex cornuta	468915	146505	-	2020/06/04	True	original	Ilex_cornuta	-
otu420095	Ilex dimorphophylla	89483	58296	-	2020/06/04	True	original	Ilex_dimorphophylla	-
otu420075	Ilex buergeri	89480	58297	-	2020/06/04	True	original	Ilex_buergeri	-
otu420112	Ilex latifolia	676217	53205	-	2020/06/04	True	original	Ilex_latifolia	-
otu420103	Ilex warburgii	89485	58299	-	2020/06/04	True	original	Ilex_warburgii	-
otu420086	Ilex liukiuensis	796105	58303	-	2020/06/04	True	original	Ilex_liukiuensis	-
otu420073	Ilex x kiusiana	5144136	58298	-	2020/06/04	True	original	Ilex_kiusiana	-
otu420077	Ilex integra	751453	53204	-	2020/06/04	True	original	Ilex_integra	-
otu420080	Ilex beecheyi	796111	58300	-	2020/06/04	True	original	Ilex_beecheyi	-
otu420101	Ilex percoriacea	796107	58302	-	2020/06/04	True	original	Ilex_percoriacea	-
otu420094	Ilex mertensii	796109	58301	-	2020/06/04	True	original	Ilex_mertensii	-
otu420088	Ilex rotunda	1015268	53211	-	2020/06/04	True	original	Ilex_rotunda	-
otu420087	Ilex serrata	796121	58304	-	2020/06/04	True	original	Ilex_serrata	-
otu420070	Ilex glabra	458761	109210	-	2020/06/04	True	original	Ilex_glabra	-
otu420108	Ilex macropoda	796117	58305	-	2020/06/04	True	original	Ilex_macropoda	-
otu420109	Ilex micrococca	676195	53206	-	2020/06/04	True	original	Ilex_micrococca	-
otu420114	Ilex yunnanensis	1015274	53213	-	2020/06/04	True	original	Ilex_yunnanensis	-
otu420090	Ilex mitis	676179	53207	-	2020/06/04	True	original	Ilex_mitis	-
otu420074	Ilex canariensis	676173	53200	-	2020/06/04	True	original	Ilex_canariensis	-
otu420081	Ilex taubertiana	967825	224368	-	2020/06/04	True	original	Ilex_taubertiana	-
otu420100	Ilex brevicuspis	432620	53199	-	2020/06/04	True	original	Ilex_brevicuspis	-
otu420089	Ilex microdonta	222016	185533	-	2020/06/04	True	original	Ilex_microdonta_Gbk	-
otu420096	Ilex pseudobuxus	1015266	53210	-	2020/06/04	True	original	Ilex_pseudobuxus	-
otu420107	Ilex microdonta	222016	185533	-	2020/06/04	True	original	Ilex_microdonta	-
otu420082	Ilex brasiliensis	432622	53198	-	2020/06/04	True	original	Ilex_brasiliensis	-
otu420104	Ilex theezans	68451	185555	-	2020/06/04	True	original	Ilex_theezans	-
otu420071	Ilex theezans	68451	185555	-	2020/06/04	True	original	Ilex_theezans_Gbk	-
otu420093	Ilex integerrima	171374	185519	-	2020/06/04	True	original	Ilex_integerrima	-
otu420078	Ilex argentina	302247	185491	-	2020/06/04	True	original	Ilex_argentina	-
otu420097	Ilex pedunculosa	751461	53208	-	2020/06/04	True	original	Ilex_pedunculosa	-
otu420102	Ilex cassine	468907	146503	-	2020/06/04	True	original	Ilex_cassine	-
otu420110	Ilex argentina	302247	185491	-	2020/06/04	True	original	Ilex_argentina_Gbk	-
otu420067	Ilex opaca	660052	101729	-	2020/06/04	True	original	Ilex_opaca	-
